"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"cómo";-0,885458299130675;0,0417029521343827;0,0676688845313695;-0,99599490408731;0,0469089598595679;0,0761163616905352;0,994736353556587;0,00183494304569187;0,00342870339771722;0,00251295785657869;5,5742004099097e-06;1,46766526104842e-05;0,00320515457979148;0,452828089116684;0,000657227454022282
"así";-0,284940206258448;0,460326588433538;0,212900737288234;-0,48980912353002;0,791296411899438;0,365974057853597;0,285723355110513;0,620136964005874;0,0941396808836272;0,000277600353305572;0,000724510471366213;0,000154976866899159;0,00341910584827564;0,27189430078964;0,000252762565425345
"saber";-0,442627114352954;0,634870304682169;0,385730516890884;-0,511864297166652;0,734178796916146;0,446067747595419;0,316551117487612;0,541570594543117;0,141878287969284;0,000615858456602302;0,00126699502184016;0,000467705932987723;0,00314343786772874;0,401268741116872;0,000506145685938072
"siempre";0,556102230408966;0,268750736675291;-0,278105906306105;0,820982088882088;0,396760755701374;-0,410571933368658;0,745252205013651;0,144747325465146;0,110000469521174;0,000933935439993733;0,000218125735507754;0,000233575886950608;0,00302000444360327;0,32856571410252;0,000326025873731865
"uno";0,1679861894325;0,812750701548476;-0,273625000211079;0,19223185092541;0,93005604941332;-0,313117646323996;0,0453881329501006;0,883541782999399;0,0710700840504886;8,95185538403431e-05;0,00209546594023713;0,000237507566513893;0,00317223900002469;0,402181102426359;0,000513108513548001
"quedar";-0,278412631723996;0,472182803166651;0,417876726323493;-0,403924749791965;0,685049092220193;0,606261113509508;0,211796055479492;0,506614427890767;0,281589516629748;0,000238556355342627;0,000686172726584782;0,000537414632972046;0,00307760670819516;0,308566832525359;0,000293029675949328
"acá";-1,15453371597148;0,674247751609359;0,425845066798333;-0,822800512003875;0,480515542826597;0,303486623343141;0,73318318887734;0,207948358879452;0,0588684522432204;0,00395969704973282;0,00135047868328341;0,000538706183610082;0,00297063107395308;0,687732600419137;0,0014050375880633
"gobierno";-0,978295616155718;-1,6754671193811;-1,43666722422272;-0,405228944964169;-0,694010851011408;-0,595095320803018;0,212224792118316;0,517660402954797;0,270114804926867;0,00273675891497782;0,00802727507281917;0,00590212896177384;0,00285954099224015;1,08315669797424;0,00335489479561356
"sociedad";1,49982005424324;-0,717139366958195;0,767468488085981;0,819102253529515;-0,391653965359581;0,41914039375964;0,743681544814255;0,141394671729217;0,114923783456555;0,00688593264304696;0,00157431482312424;0,00180304083536658;0,00306114891831176;0,887084303812637;0,00240887490508233
"mismo";0,3772484335301;-0,202332510966882;0,117383769888445;0,849879015245059;-0,455822052230929;0,264446433415301;0,77139182537182;0,184530734237529;0,0440774403906765;0,0004274538887234;0,000122960529470714;4,13857174619337e-05;0,00300354665371987;0,219083247360441;0,000144162638224934
"humano";1,89146977012654;0,894377146950557;-1,26365128318699;0,773843032588885;0,365909904882123;-0,516988300083081;0,68996610018576;0,128288449563639;0,181745450250574;0,0110253440113625;0,0024651010518979;0,00492093722817736;0,00308172115566601;1,16146136703941;0,00415721874804221
"viejo";-0,184086267039104;0,806925009742193;0,379531092299429;-0,202175497892555;0,88621746874756;0,416825702348794;0,0513155251282114;0,819954159092694;0,128730315779098;9,88554322312904e-05;0,0018994335709509;0,000420196545779797;0,00291714325683204;0,414492086044893;0,000501175974014126
"parecer";0,203703260493511;-0,454124637939672;0,232797709520909;0,370725768015619;-0,826475259979271;0,423675641937824;0,169380803841536;0,700060515359382;0,130558680799112;0,000120876183856828;0,00060075156243245;0,000157870936691789;0,00291302880936119;0,252455668330551;0,000185658583339514
"historia";0,00554374986519384;-0,36131551017218;0,329032596925427;0,0113435294650722;-0,739317832782921;0,673261068582195;0,000178174031704309;0,629401232798532;0,370420593169774;8,72504882689174e-08;0,000370624242097291;0,000307353712421716;0,00283896875488591;0,211836437217611;0,000127397803427355
