"";"classe 1";"classe 2";"classe 3";"classe 4"
"decisión";69,028;-22,507;2,869;-30,117
"libro";-39,221;-26,394;-22,83;202,358
"término";84,672;-4,135;-1,06;-42,268
"morir";-31,04;11,116;-22,453;40,796
"luego";-2,929;-0,359;29,157;-4,276
"erar|ser";-13,895;-13,213;1,713;32,308
"tirar";-4,966;1,14;-14,234;18,116
"diferencia";63,872;0,002;-5,223;-36,966
"loco";-21,05;0,125;-23,635;64,45
"fondo";80,99;-1,203;-8,523;-31,402
"trabajador";57,991;-6,275;-8,813;-9,136
"clase";170,917;-27,789;-8,517;-37,046
"preocupar";2,365;1,508;-0,051;-5,588
"nacional";-7,509;-17,727;258,245;-41,203
"esperar";-24,712;-12,822;16,522;21,982
"libre";-27,504;269,475;-13,213;-33,761
"significar";62,148;0,542;-7,937;-37,605
"jugar";0,719;-0,418;-1,295;0,37
"josé";-77,776;-41,407;2,865;162,065
"tocar";-48,405;184,54;-2,258;-11,742
"palabra";-33,565;0,223;-4,795;49,107
"dios";-23,81;165,29;-11,605;-11,242
"preciso";-24,813;252,293;-15,942;-28,508
"etcétera";101,57;-13,955;-2,619;-29,867
"sistema";138,482;-5,621;-2,833;-67,56
"auto";-25,275;18,355;-28,788;30,777
"democracia";108,615;-22,448;-2,258;-25,5
"común";79,576;-18,506;-4,266;-12,261
"rico";93,171;-0,188;-10,152;-43,464
"militar";-0,271;-19,52;-0,212;21,08
"adentro";-0,005;27,08;-15,461;-1,479
"medida";124,683;-15,941;-1,256;-44,988
"servir";-7,916;37,104;-5,886;-0,209
"escuchar";-43,576;-14,496;-10,312;148,952
"reconocer";19,25;-8,324;0,495;-5,895
"general";-0,288;-6,914;76,592;-17,221
"cabeza";-10,722;6,95;-17,317;18,214
"colombia";-6,922;-18,006;209,332;-27,43
"pelear";0,84;44,8;-10,879;-15,484
"fin";-19,909;38,766;-0,647;-0,053
"preso";-12,496;-3,784;-7,653;53,01
"imponer";156,614;-1,664;-18,338;-61,084
"mañana";-39,348;-3,656;-11,485;108,733
"crecer";128,337;-21,22;-4,502;-30,937
"ayudar";20,593;0,19;-3,735;-10,86
"ah";-42,16;-13,017;-2,347;112,554
"transformar";36,918;15,998;-7,357;-51,681
"enorme";27,784;0,317;-0,136;-28,651
"causa";5,587;116,41;-23,66;-57,283
"agua";-15,216;-8,504;-6,492;68,634
"fenómeno";92,432;-5,569;-6,778;-29,079
"mis";-22,2;0,075;-11,449;49,746
"colectivo";120,07;0,16;-15,866;-63,144
"animal";-18,81;281,497;-27,494;-32,934
"visión";64,636;-11,877;-0,478;-19,707
"crisis";55,902;-29,181;5,403;-21,301
"recibir";-29,458;-0,314;0,727;26,241
"discutir";27,86;-21,919;0,067;-2,073
"ver|vestir";-52,762;-18,006;-13,697;185,143
"derecha";158,383;-30,246;-2,995;-40,329
"usar";-19,467;45,173;-0,688;-0,458
"seguramente";4,905;-1,237;0,234;-2,613
"proceso";37,909;-21,145;1,385;-9,573
"madre";-28,517;0;-20,565;77,629
"capital";52,714;-21,919;0,001;-10,283
"montón";0,793;-2,132;-8,007;6,671
"producir";15,026;-23,4;3,456;-1,425
"histórico";49,429;-14,151;3,115;-26,191
"drogar";102,91;-19,539;0,012;-39,86
"papel";6,764;0,717;-1,273;-5,64
"dónde";-5,512;-3,665;-1,566;23,992
"chico";-27,074;-12,367;-17,144;128,158
"razón";16,802;17,033;-8,945;-26,402
"discurso";-23,025;-3,161;11,704;12,311
"lula";-26,156;-28,949;223,196;-4,913
"inversión";0,044;-9,176;154,069;-55,158
"arreglar";77,7;-7,509;-9,104;-15,703
"república";-30,66;-21,145;254,91;-10,678
"etapa";-0,001;99,488;-16,955;-26,24
"situación";7,592;-21,919;93,848;-40,798
"universidad";28,898;-21,335;-4,453;0,077
"ciencia";103,026;-2,792;-16,389;-28,735
"cumplir";0,692;0,675;-12,48;1,623
"venezuela";-4,138;-16,155;197,488;-32,312
"olvidar";2,83;0,162;-0,039;-3,358
"cultural";155,905;-11,71;-11,109;-45,437
"proyecto";-0,746;-15,933;128,858;-22,363
"mantener";7,122;0,436;-2,373;-3,842
"falta";-0,569;0,446;-4,324;3,293
"favor";14,392;-4,387;0,315;-5,756
"pesar";13,088;16,476;-16,013;-14,543
"mover";9,827;-4,246;-2,077;-0,042
"mil";-11,132;-0,589;-9,598;40,399
"levantar";-19,111;172,365;-23,659;-8,602
"pobreza";57,908;0,871;-11,973;-30,51
"muchacho";-19,467;14,222;-14,122;16,899
"allí";-1,103;-1,906;0,175;3,47
"mandar";-38,398;-26,525;-2,373;135,094
"adelante";-16,306;22,201;-0,956;0,584
"abajo";-0,01;-12,92;-15,394;38,563
"mes";-36,898;-18,163;1,338;74,516
"respuesta";4,552;2,538;-8,938;-1,166
"amplio";-54,259;-30,732;616,575;-58,624
"suerte";-6,416;0,002;-2,727;14,01
"elegir";-14,5;-5,93;0,478;27,444
"equivocar";-10,267;47,071;-0,585;-4,118
"capaz";-13,039;135,41;-11,433;-12,889
"recordar";-22,394;1,154;-3,822;27,828
"mejorar";48,425;1,756;-9,102;-30,96
"latinoamericano";8,87;-14,392;20,489;-10,83
"decidir";-7,695;-0,048;2,02;3,189
"noche";-55,751;-18,673;-13,473;191,747
"nacer";-23,94;120,348;-15,637;-1,746
"negocio";15,258;5,312;-6,2;-14,516
"segundo";-15,843;-10,325;156,125;-10,42
"demasiado";32,997;2,62;-5,621;-26,304
"dedicar";-12,788;4,849;-7,743;14,775
"blanco";-8,535;-26,512;231,552;-22,846
"condición";30,085;1,026;-4,582;-20,665
"internacional";57,242;-23,635;3,07;-22,156
"error";6,458;63,59;-10,914;-43,588
"cárcel";-10,001;-2,67;-6,362;41,75
"ciudad";-11,271;-1,98;-6,362;41,75
"afuera";-11,739;-10,325;-1,167;47,806
"seguro";-23,455;-6,987;-0,205;53,721
"contradicción";61,03;0,034;-9,267;-29,383
"agarrar";-15,402;-11,201;-9,719;83,15
"sector";28,722;-21,734;30,724;-32,433
"río";-6,668;-7,164;8,147;6,441
"manejar";14,143;-1,18;-1,895;-2,857
"puerto";-4,299;-17,594;87,454;-3,232
"mayoría";7,002;15,111;-3,517;-19,27
"funcionar";-4,133;-5,947;3,96;6,147
"final";-16,791;-0,15;-0,761;25,308
"felicidad";-22,512;217,374;-16,077;-21,146
"contar";-40,305;-15,688;-6,664;134,337
"capacidad";39,66;0,019;-7,804;-16,743
"salud";27,871;-14,392;8,147;-17,902
"soledad";-36,155;250,714;-19,533;-15,601
"padre";-31,506;-14,173;-4,542;107,114
"feliz";-26,098;253,942;-23,503;-21,02
"sentir";-9,094;19,649;-9,213;2,611
"permitir";-0,189;0,167;7,934;-4,556
"caminar";-3,921;-0,107;-19,14;32,044
"importar";0,727;-0,022;-7,724;2,183
"calle";-3,974;-17,065;3,408;15,825
"campaña";-37,245;-24,18;16,563;47,873
"tender";104,495;-1,645;-14,12;-35,842
"españa";-21,721;-22,727;41,736;12,228
"banco";-0,012;-18,184;82,521;-11,933
"escuela";-39,711;-28,952;-11,301;178,311
"montevideo";-38,391;-28,219;1,525;91,662
"dólar";-17,491;-23,453;0;67,104
"consecuencia";135,444;-7,272;-14,12;-38,256
"programa";-19,977;-4,412;-0,122;41,291
"votar";-9,113;-12,871;51,107;0,124
"cuidar";-7,962;77,803;-11,66;-3,874
"multiplicar";90,682;1,509;-17,574;-50,01
"escribir";-26,927;-17,13;-7,724;115,754
"atender";3,806;-5,036;1,724;-1,119
"ministro";-26,927;-25,781;144,554;-0,01
"interior";-4,299;-3,489;5,695;2,981
"juntar";26,686;-8,599;-2,22;-2,031
"complicado";-0,03;0,881;9,96;-9,644
"cuatro";-51,883;-25,781;0,968;111,543
"capitalismo";128,8;-5,478;-20,729;-31,085
"paz";13,818;-12,226;17,039;-15,616
"elección";-35,065;-16,667;240,277;-8,755
"conocimiento";57,309;1,64;-11,556;-33,934
"sueño";8,216;27,539;-10,764;-21,569
"región";0,713;-17,713;116,564;-33,458
"peso";6,434;-23,211;0,075;1,826
"oportunidad";-0,539;-0,265;-3,517;6,914
