"";"X";"V1"
"1069";1069;4
"1070";1070;4
"1071";1071;1
"1072";1072;1
"1073";1073;4
"1074";1074;2
"1075";1075;2
"1076";1076;2
"1077";1077;2
"1078";1078;2
"1079";1079;1
"1080";1080;2
"1081";1081;2
"1082";1082;2
"1083";1083;2
"1084";1084;2
"1085";1085;2
"1086";1086;2
"1087";1087;4
"1088";1088;2
"1089";1089;2
"1090";1090;2
"1091";1091;2
"1092";1092;2
"1093";1093;2
"1094";1094;4
"1095";1095;4
"1096";1096;4
"1097";1097;2
"1098";1098;2
"1099";1099;2
"1100";1100;2
"1101";1101;4
"1102";1102;3
"1103";1103;3
"1104";1104;2
"1105";1105;2
"1106";1106;2
"1107";1107;2
"1108";1108;2
"1109";1109;4
"1110";1110;3
"1111";1111;1
"1112";1112;1
"1113";1113;4
"1114";1114;1
"1115";1115;1
"1116";1116;1
"1117";1117;1
"1118";1118;1
"1119";1119;1
"1120";1120;1
"1121";1121;1
"1122";1122;1
"1123";1123;1
"1124";1124;1
"1125";1125;1
"1126";1126;1
"1127";1127;4
"1128";1128;4
"1129";1129;4
"1130";1130;4
"1131";1131;4
"1132";1132;4
"1133";1133;1
"1134";1134;1
"1135";1135;4
"1136";1136;4
"1137";1137;4
"1138";1138;2
"1139";1139;2
"1140";1140;2
"1141";1141;2
"1142";1142;2
"1143";1143;1
"1144";1144;1
"1145";1145;4
"1146";1146;1
"1147";1147;3
"1148";1148;4
"1149";1149;1
"1150";1150;1
"1151";1151;2
"1152";1152;2
"1153";1153;1
"1154";1154;3
"1155";1155;3
"1156";1156;3
"1157";1157;4
"1158";1158;3
"1159";1159;3
"1160";1160;3
"1161";1161;4
"1162";1162;4
"1163";1163;4
"1164";1164;4
"1165";1165;4
"1166";1166;4
"1167";1167;4
"1168";1168;3
"1169";1169;3
"1170";1170;2
"1171";1171;2
"1172";1172;2
"1173";1173;1
"1174";1174;1
"1175";1175;2
"1176";1176;2
"1177";1177;2
"1178";1178;4
"1179";1179;2
"1180";1180;2
"1181";1181;2
"1182";1182;2
"1183";1183;1
"1184";1184;1
"1185";1185;2
"1186";1186;2
"1187";1187;1
"1188";1188;1
"1189";1189;2
"1190";1190;1
"1191";1191;4
"1192";1192;4
"1193";1193;4
"1194";1194;1
"1195";1195;1
"1196";1196;4
"1197";1197;4
"1198";1198;4
"1199";1199;1
"1200";1200;3
"1201";1201;1
"1202";1202;3
"1203";1203;1
"1204";1204;1
"1205";1205;1
"1206";1206;3
"1207";1207;3
"1208";1208;1
"1209";1209;1
"1210";1210;4
"1211";1211;3
"1212";1212;3
"1213";1213;4
"1214";1214;1
"1215";1215;4
"1216";1216;1
"1217";1217;1
"1218";1218;4
"1219";1219;4
"1220";1220;1
"1221";1221;1
"1222";1222;1
"1223";1223;1
"1224";1224;4
"1225";1225;4
"1226";1226;1
"1227";1227;1
"1228";1228;3
"1229";1229;3
"1230";1230;3
"1231";1231;4
"1232";1232;3
"1233";1233;3
"1234";1234;3
"1235";1235;4
"1236";1236;3
"1237";1237;3
"1238";1238;3
"1239";1239;3
"1240";1240;3
"1241";1241;4
