superior	123
reproducirse	5
condición	296
crítica	18
aparecer	500
gallina	23
pollo	20
mamífero	5
echar	136
fraternidad	11
obvio	130
continuidad	26
belleza	22
atraer	27
pájaro	48
colombia	375
defender	483
frágil	20
inmensidad	11
discutir	351
insignificante	4
pequeñez	14
optar	23
final	290
tiendo	12
capa	14
acostar	32
dormir	138
whisky	50
consolar	4
presente	139
escocés	8
aporte	78
acelga	4
beta	7
ron	11
inglés	102
condicionar	13
siete	128
enseñar	129
secreto	62
diálogo	67
imponer	366
curioso	131
contradictorio	59
verdad	945
disco	59
factor	111
adquirir	45
darás	4
circunstancia	149
encontrar	595
antropología	31
amigo	609
antropólogo	5
ingenuidad	12
simplificar	16
ideológico	80
convicción	25
deliberadamente	12
incidir	38
propio	483
educar	94
invento	23
asunto	240
empeorar	16
optimismo	13
pesimismo	9
terrible	134
adverso	12
frecuente	39
sapiens	29
ponerse	55
patrón	38
pretencioso	4
quitar	75
espacio	131
expresidente	108
maría	31
sanguinetti	36
parlamento	178
ceremonia	12
envidia	18
sano	17
quizás	91
despedida	21
ricardo	12
balvín	3
juan	55
perón	47
cívico	28
racional	71
tupamaro	28
sabio	61
ético	28
austeridad	75
decencia	12
aún	134
rasgo	17
personal	244
gestión	64
movimiento	247
liberación	81
chupamaros	3
guerrilla	55
combatir	52
dictadura	250
método	53
terrorista	5
ganador	12
coalición	50
oficial	58
izquierda	623
frente	870
amplio	311
componente	26
mayoritario	24
participación	87
popular	114
casual	57
exministro	15
educación	235
nicolás	21
trota	3
prologado	3
particularidad	6
alberto	80
fernández	54
epilogado	3
silva 	6
entrar	601
guerrillero	86
conquistar	68
presidencia	222
tabaré	54
vázquez	79
marzo	34
inicialmente	3
designar	9
pescar	87
industriar	122
senado	105
iniciar	41
allí	315
presentarse	9
opositor	17
interno	154
danilo	27
astori	84
vencer	32
luis	39
calle	285
pow	3
actual	153
consolidar	14
crédito	47
predecesor	9
abanderado	6
progresismo	6
terreno	29
novedad	38
despenalización	9
aborto	87
matrimonio	39
homosexual	9
audaz	28
legislación	17
regulación	60
marihuana	492
excepcional	25
programa	272
considerar	187
moderar	5
moderación	3
normalmente	23
destacar	60
enamorar	87
origenes	3
establecer	124
peronismo	32
inspiración	6
llamar	832
referir	165
mérito	49
revolucionario	105
paulatinos	3
atravesados	3
polarización	35
interpretamos	3
confrontación	39
erar|ser	426
correcto	42
polarizar	3
mear	13
afirmación	57
experiencia	238
idas	11
venidas	12
término	428
perfecto	159
grado	126
reciente	47
naturalmente	179
variar	32
seno	18
incrementar	9
modelo	181
latinoamericano	304
especialmente	31
proximidad	6
similitud	9
polisémico	3
pamperonismo	3
urué	3
respecto	167
pou	21
omisión	3
polo	28
estimar	8
autoestima	6
imagen	129
teñida	3
perspectiva	95
definir	191
acentuer	3
probable	114
efectivo	37
juego	176
extrañar	46
dicotomía	9
destino	95
producir	339
elogiar	9
punta	118
montevideo	274
mal	441
pleito	38
unitario	14
federal	53
refugio	63
definición	176
avvenimiento	3
peón	17
canchillería	3
rodríguez	41
lareta	3
intervención	41
escándalo	20
aducir	3
desordenar	3
recuperar	53
orden	107
posición	153
apoyo	81
guatemala	20
resto	136
prendar|prender	20
posterior	23
emparentados	4
incertidumbre	69
migraron	3
desapercibido	6
placenta	5
oriental	76
pedazo	120
fracturar	13
argentinidad	3
ocupábamos	3
territorio	62
marca	95
ambicionado	3
portugal	39
colonia	150
sacramento	6
fundar	167
portugués	25
paradojal	23
marinar	13
español	127
puerto	291
atlántico	31
sur	158
remontar	26
época	752
independencia	133
dominara	3
cuarto	96
nacientes	9
imposición	42
importación	18
prácticamente	98
ejército	122
federalismo	24
don	210
artiga	30
figura	127
jefe	79
patria	88
resultado	199
entretegido	3
contexto	106
entretecimiento	3
analizar	34
culmin	3
mercosur	74
comercial	79
avanzar	206
soñaron	7
fundador	57
unión	92
europeo	188
traicionar	16
espíritu	60
hermandad	6
ofreciéndole	6
ciudadano	92
costo	161
tributario	21
detrimento	3
recaudación	13
situación	326
seducción	3
sincero	69
posiblemente	27
acorde	8
determinar	45
niño	218
década	235
defensivo	22
entudiar	3
relación	448
finalmente	52
mencionar	136
imperio	120
conformación	11
tapón	12
exilio	6
mediar	38
siglo	182
xix	8
xx	10
nuevamente	31
enorme	361
específicamente	18
concentrar	97
población	149
bruto	43
modificar	44
geopolítica	25
esencialmente	27
continuamente	3
asilo	9
nudo	6
gravitación	3
desembocar	56
caber	48
embudo	6
concentración	116
pendiente	60
archivar	6
idealización	6
argumento	77
seguridad	222
asesinato	23
ciudad	295
percibir	54
aldea	9
gigantesco	142
escala	59
familiar	67
intimista	3
pueblerinos	3
aldeanos	3
permeable	3
radio	85
ones	3
fácil	206
regalo	76
oveja	56
pavada	62
carne	182
modestia	3
humildad	53
formidable	112
pecuario	9
agrícola	56
pampa	41
destrozar	31
recomponer	7
elemento	85
surgir	123
comparación	18
paralelo	39
on000	3
aumentar	166
porcentaje	12
duplicar	12
exportar	33
calidad	91
exportación	39
suma	24
inmigrante	58
emigración	38
disvalor	3
inmigración	36
poblacional	3
deliberados	3
solución	139
españa	280
natalidad	23
paraguayo	24
boliviano	10
chileno	36
mapa	44
protuberancia	3
puesta	29
esquina	95
mercadolibbre	3
empresa	633
petrolero	9
residencia	21
orgullo	27
curiosidad	31
sentimiento	134
vino	437
traer	475
inmenso	53
mayoría	290
residir	6
dormitorio	12
exótico	12
tranquilo	108
acogedores	3
cómodo	61
chile	132
compartir	170
zona	143
latitud	15
sudamérica	24
asignar	14
clima	63
templar	9
importancia	219
impronta	20
demócrata	42
divorcio	50
voluntad	180
sindicato	78
abogado	70
serie	90
reforma	117
escudo	26
progresista	89
derecha	349
soñador	9
prohibir	78
playa	14
toro	12
boxeo	3
veterinario	42
agrónomo	20
facultad	86
agronomía	27
cerebro	31
expulsar	9
recibir	351
cielo	106
personaje	150
incidó	3
modeló	9
borágen	3
suave	30
perdonar	61
interrumpir	12
tema	606
geografía	12
intervenir	47
consecuencia	273
mendoza	3
votación	17
línea	121
peronista	19
franja	27
comportar	9
tropical	13
brasileño	41
introducción	15
bolsonaro	49
veredes	5
vivieres	3
tancho	3
politicólogo	3
andrés	21
malamud	3
presentación	16
red	98
occidental	27
broma	17
influencia	50
determinante	55
carburando	6
pila	80
cargado	6
utilizar	180
caudal	23
inmigratorio	3
indudable	15
suizo	43
pasto	81
aguada	3
andaria	3
indígena	66
cazar	28
coloniaje	3
feroz	23
reabsorbió	3
desaparecer	196
cordillera	22
cimiento	25
cuña	3
mediterráneo	35
admiración	19
sanguineti	9
octavio	3
paz	264
inteligencia	222
encarnar	3
reconcilian	3
enemigo	68
espejo	29
